id,date,via,num,lat,long
76,2017-06-01 09:10:00,PIAZZA SOLFERINO 22,1,45.06786711,7.67614394
77,2017-06-01 09:10:00,VIA LUIGI SALVATORE CHERUBINI 70,1,45.09279894,7.70256674
78,2017-06-01 09:11:00,CORSO RE UMBERTO 128,1,45.05124633,7.66252444
79,2017-06-01 09:15:00,CORSO RE UMBERTO 12,1,45.06542247,7.67389644
80,2017-06-01 09:15:00,CORSO GIACOMO MATTEOTTI 27,1,45.06697215,7.67226815
81,2017-06-01 09:16:00,CORSO VALDOCCO 7,1,45.07656159,7.67416224
82,2017-06-01 09:16:00,CORSO RE UMBERTO 27,1,45.06262715,7.67296080
83,2017-06-01 09:18:00,CORSO VINZAGLIO 4,1,45.07254869,7.66952165
84,2017-06-01 09:18:00,CORSO REGINA MARGHERITA 14,1,45.07008694,7.70466738
85,2017-06-01 09:19:00,VIA SAN GIULIA 25,1,,
86,2017-06-01 09:19:00,CORSO REGINA MARGHERITA 14,1,45.07008694,7.70466738
87,2017-06-01 09:20:00,CORSO REGINA MARGHERITA 14,1,45.07008694,7.70466738
88,2017-06-01 09:21:00,CORSO VINZAGLIO 4,1,45.07254869,7.66952165
89,2017-06-01 09:22:00,CORSO CARLO E NELLO ROSSELLI 33,1,45.05154331,7.66226443
90,2017-06-01 09:22:00,VIA LANZO 30,1,45.10944435,7.66140006
91,2017-06-01 09:23:00,CORSO LEPANTO 4,1,45.04728175,7.66167642
92,2017-06-01 09:24:00,CORSO VITTORIO EMANUELE II 66,1,45.06404842,7.67621181
93,2017-06-01 09:24:00,CORSO VINZAGLIO 4,1,45.07254869,7.66952165
94,2017-06-01 09:25:00,CORSO LEPANTO 2,1,45.04710165,7.66197822
95,2017-06-01 09:28:00,VIA ALESSANDRO SCARLATTI 15,1,45.09051687,7.69585900
96,2017-06-01 09:28:00,CORSO SAN MAURIZIO 6,1,,
97,2017-06-01 09:29:00,CORSO VINZAGLIO 4,1,45.07254869,7.66952165
98,2017-06-01 09:30:00,CORSO SEBASTOPOLI 297,1,45.05020639,7.63012467
99,2017-06-01 09:31:00,CORSO FILIPPO TURATI 76,1,45.04793801,7.66304436
100,2017-06-01 09:31:00,VIA GIUSEPPE PARINI 7,1,45.06480581,7.67543490
101,2017-06-01 09:32:00,CORSO VINZAGLIO 4,1,45.07254869,7.66952165
102,2017-06-01 09:32:00,VIA VANCHIGLIA 16,1,45.06759846,7.69841547
103,2017-06-01 09:32:00,CORSO SAN MAURIZIO 6,1,,
104,2017-06-01 09:34:00,VIA SAN QUINTINO 7,1,,
105,2017-06-01 09:34:00,CORSO BRIANZA 13,1,45.07452352,7.71856449
106,2017-06-01 09:35:00,CORSO VALDOCCO 15,1,45.07801654,7.67519075
107,2017-06-01 09:35:00,CORSO SEBASTOPOLI 297,1,45.05020639,7.63012467
108,2017-06-01 09:35:00,VIA GIUSEPPE POMBA 23,1,45.06535060,7.68527230
109,2017-06-01 09:35:00,CORSO MONCALIERI 278,1,45.03495300,7.68016493
110,2017-06-01 09:36:00,VIA VANCHIGLIA 36,1,45.06988624,7.70111204
111,2017-06-01 09:36:00,VIA GIUSEPPE POMBA 24,1,45.06564651,7.68564959
