id,long,lat,num_multe,num_park,day,hour
153,5,9,43.0,0.0,2,2
154,11,15,43.0,0.0,2,2
155,13,11,43.0,0.0,2,2
156,7,8,42.0,0.0,1,1
157,9,10,42.0,0.0,1,3
158,5,13,41.0,0.0,2,2
159,10,14,41.0,0.0,2,2
160,10,14,41.0,0.0,1,1
161,9,12,40.0,0.0,1,2
162,8,7,40.0,0.0,1,2
163,11,10,40.0,0.0,1,1
164,5,8,40.0,0.0,2,1
165,8,6,40.0,0.0,2,2
166,6,14,39.0,0.0,1,1
167,9,7,39.0,0.0,2,2
168,11,11,39.0,0.0,1,2
169,7,16,38.0,0.0,2,1
170,2,12,38.0,0.0,2,1
171,7,18,38.0,0.0,2,1
172,6,11,37.0,0.0,2,2
173,6,13,36.0,0.0,1,1
174,11,12,36.0,0.0,1,1
175,10,16,36.0,0.0,2,1
176,7,10,36.0,0.0,1,1
177,7,4,36.0,0.0,1,1
178,10,9,35.0,0.0,2,2
179,4,7,35.0,0.0,2,2
180,7,17,34.0,0.0,2,1
181,9,16,34.0,0.0,2,1
182,8,13,34.0,0.0,1,2
183,1,14,34.0,0.0,2,1
184,8,16,34.0,0.0,2,1
185,11,10,34.0,0.0,2,3
186,12,11,34.0,0.0,1,2
187,3,13,34.0,0.0,2,1
188,10,15,32.0,0.0,2,2
189,10,13,32.0,0.0,1,2
190,7,12,31.0,0.0,1,2
191,8,17,31.0,0.0,2,1
192,12,10,31.0,0.0,1,2
193,6,5,31.0,0.0,2,1
194,3,11,30.0,0.0,2,1
195,5,12,30.0,0.0,2,2
196,4,14,30.0,0.0,2,3
197,10,12,30.0,0.0,1,2
198,10,15,29.0,0.0,2,1
199,11,15,29.0,0.0,1,1
200,13,12,29.0,0.0,2,1
201,11,9,29.0,0.0,1,2
202,3,12,29.0,0.0,2,1
203,3,8,28.0,0.0,2,2
204,13,12,28.0,0.0,2,2
205,7,4,28.0,0.0,2,1
206,7,18,28.0,0.0,2,2
207,5,10,28.0,0.0,2,2
208,5,7,27.0,0.0,2,2
209,8,9,27.0,0.0,1,1
210,1,12,27.0,0.0,2,2
211,8,17,27.0,0.0,2,2
212,10,16,27.0,0.0,2,2
213,8,14,27.0,0.0,2,1
214,8,18,26.0,0.0,2,1
215,7,4,26.0,0.0,2,2
216,12,16,26.0,0.0,2,1
217,3,3,26.0,0.0,2,1
218,5,6,26.0,0.0,2,1
219,4,4,26.0,0.0,2,1
220,4,8,25.0,0.0,1,1
221,12,11,25.0,0.0,1,1
222,7,9,25.0,0.0,1,2
223,8,8,25.0,0.0,1,1
224,9,8,24.0,2380.0,1,2
225,11,16,23.0,0.0,2,3
226,7,6,23.0,0.0,2,2
227,5,8,23.0,0.0,2,2
228,10,7,23.0,0.0,1,3
229,10,12,23.0,0.0,1,1
230,1,14,23.0,0.0,2,2
231,4,10,23.0,0.0,2,1
232,7,10,23.0,0.0,1,2
233,6,6,22.0,0.0,2,1
234,8,9,22.0,0.0,1,2
235,11,10,22.0,0.0,1,2
236,12,12,22.0,0.0,1,1
237,6,10,22.0,0.0,1,1
238,3,12,22.0,0.0,2,2
239,9,15,22.0,0.0,2,2
240,7,5,22.0,0.0,2,2
241,6,8,21.0,0.0,2,1
242,10,9,21.0,0.0,1,2
243,9,7,21.0,0.0,2,3
244,9,6,21.0,0.0,2,3
245,6,18,21.0,0.0,2,1
246,3,7,21.0,0.0,2,1
247,6,7,20.0,0.0,2,3
248,10,5,20.0,0.0,2,1
249,0,12,20.0,0.0,2,1
250,4,13,20.0,0.0,2,2
251,13,16,19.0,0.0,2,1
252,12,15,19.0,0.0,2,1
253,6,12,19.0,0.0,1,2
254,9,15,18.0,0.0,2,1
255,3,4,18.0,0.0,2,1
256,12,12,18.0,0.0,1,2
257,4,6,18.0,0.0,2,1
258,7,17,18.0,0.0,2,2
259,7,16,18.0,0.0,2,2
260,11,16,18.0,0.0,1,2
261,2,14,18.0,0.0,2,1
262,3,14,18.0,0.0,2,2
263,8,12,17.0,0.0,1,2
264,9,7,17.0,0.0,1,3
265,4,12,17.0,0.0,2,2
266,9,12,17.0,0.0,2,3
267,6,13,17.0,0.0,1,2
268,10,12,17.0,0.0,2,3
269,8,10,17.0,0.0,1,2
270,0,12,17.0,0.0,2,2
271,8,9,17.0,0.0,2,3
272,6,6,17.0,0.0,2,2
273,5,18,16.0,0.0,2,1
274,7,6,16.0,0.0,2,3
275,9,5,16.0,0.0,2,1
276,7,13,16.0,0.0,2,3
277,2,13,16.0,0.0,1,1
278,6,16,16.0,0.0,1,3
279,4,5,16.0,0.0,2,1
280,4,6,16.0,0.0,2,2
281,13,10,16.0,0.0,2,1
282,11,16,16.0,0.0,1,1
283,7,3,16.0,0.0,2,1
284,5,13,16.0,0.0,2,3
285,5,9,16.0,0.0,1,1
286,11,15,15.0,0.0,2,3
287,7,3,15.0,0.0,1,2
288,7,15,15.0,0.0,2,1
289,6,4,15.0,0.0,2,2
290,4,11,15.0,0.0,2,3
291,13,11,15.0,0.0,1,1
292,1,12,15.0,0.0,2,1
293,6,7,15.0,0.0,2,2
294,6,7,15.0,0.0,1,3
295,8,5,15.0,0.0,2,2
296,2,11,15.0,0.0,2,1
297,9,16,14.0,0.0,1,1
298,10,7,14.0,0.0,2,3
299,9,3,14.0,0.0,2,3
300,10,5,14.0,0.0,2,2
301,9,17,14.0,0.0,2,1
302,5,3,14.0,0.0,2,1
303,6,4,14.0,0.0,2,1
304,6,14,14.0,0.0,1,2
305,6,8,14.0,0.0,2,2
306,8,6,14.0,0.0,1,2
307,9,13,14.0,0.0,1,3
308,4,10,14.0,0.0,2,2
309,2,12,14.0,0.0,2,2
310,5,7,14.0,0.0,1,1
311,5,14,13.0,0.0,2,2
312,12,15,13.0,0.0,2,2
313,9,6,13.0,0.0,1,3
314,12,15,13.0,0.0,2,3
315,5,14,13.0,0.0,2,3
316,8,15,13.0,0.0,2,2
317,9,17,13.0,0.0,2,2
318,11,12,13.0,0.0,1,2
319,11,15,13.0,0.0,1,2
320,6,15,13.0,0.0,2,1
321,4,11,13.0,0.0,2,1
322,3,11,13.0,0.0,2,2
323,4,17,12.0,0.0,2,1
324,11,13,12.0,0.0,2,2
325,11,17,12.0,0.0,2,2
326,6,3,12.0,0.0,2,1
327,4,12,12.0,0.0,2,1
328,3,13,12.0,0.0,2,2
329,10,7,12.0,0.0,2,1
330,2,7,12.0,0.0,2,1
331,1,13,12.0,0.0,2,2
332,4,7,12.0,0.0,2,3
333,6,7,12.0,0.0,1,2
334,6,13,12.0,0.0,1,3
335,5,11,12.0,0.0,1,1
336,10,16,11.0,0.0,1,1
337,5,8,11.0,0.0,1,3
338,3,4,11.0,0.0,2,2
339,4,14,11.0,0.0,2,2
340,6,8,11.0,0.0,1,1
341,7,14,11.0,0.0,1,2
342,6,11,11.0,0.0,2,3
343,7,3,11.0,0.0,2,2
344,3,8,11.0,0.0,1,1
345,2,13,11.0,0.0,2,3
346,5,7,11.0,0.0,1,3
347,7,16,10.0,0.0,1,2
348,13,15,10.0,0.0,2,1
349,9,5,10.0,0.0,2,2
350,3,16,10.0,0.0,2,2
351,6,16,10.0,0.0,2,1
352,7,3,10.0,0.0,1,1
353,6,18,10.0,0.0,2,2
354,2,14,10.0,0.0,2,2
355,3,11,10.0,0.0,1,2
356,2,8,10.0,0.0,2,1
357,8,16,10.0,0.0,2,3
358,7,16,10.0,0.0,1,3
359,8,4,10.0,0.0,1,3
360,7,6,10.0,0.0,2,1
361,5,13,9.0,0.0,1,3
362,7,11,9.0,0.0,1,2
363,7,15,9.0,0.0,2,2
364,9,13,9.0,0.0,2,3
365,9,15,9.0,0.0,1,1
366,9,5,9.0,0.0,2,3
367,11,16,9.0,0.0,1,3
368,7,12,9.0,0.0,2,3
369,6,15,9.0,0.0,2,2
370,6,8,9.0,0.0,2,3
371,7,7,9.0,0.0,2,1
372,4,12,9.0,0.0,2,3
373,10,15,9.0,0.0,1,2
374,5,11,9.0,0.0,2,3
375,3,18,9.0,0.0,2,1
376,12,16,9.0,0.0,2,2
377,12,9,9.0,0.0,2,1
378,6,19,9.0,0.0,2,1
379,8,16,8.0,0.0,2,2
380,8,14,8.0,0.0,2,2
381,5,6,8.0,0.0,2,2
382,11,18,8.0,0.0,2,1
383,15,13,8.0,0.0,2,2
384,2,11,8.0,0.0,2,2
385,15,13,8.0,0.0,2,1
386,0,12,8.0,0.0,1,1
387,3,7,8.0,0.0,1,1
388,8,16,8.0,0.0,1,2
389,8,6,8.0,0.0,1,1
390,5,5,8.0,0.0,2,1
391,11,17,8.0,0.0,1,1
392,4,4,8.0,0.0,1,1
393,14,12,8.0,0.0,1,1
394,14,13,7.0,0.0,2,2
395,10,14,7.0,0.0,1,2
396,10,17,7.0,0.0,2,1
397,5,14,7.0,0.0,1,1
398,10,18,7.0,0.0,2,2
399,7,3,7.0,0.0,2,3
400,5,14,7.0,0.0,1,3
401,4,12,7.0,0.0,1,1
402,4,13,7.0,0.0,1,1
403,9,14,7.0,0.0,2,2
404,5,8,7.0,0.0,2,3
405,9,5,7.0,0.0,1,1
406,5,8,7.0,0.0,1,1
407,10,15,7.0,0.0,1,1
408,11,12,6.0,0.0,2,3
409,6,3,6.0,0.0,2,2
410,10,18,6.0,0.0,2,1
411,7,5,6.0,0.0,1,2
412,6,19,6.0,0.0,2,2
413,3,3,6.0,0.0,2,2
414,7,4,6.0,0.0,1,3
415,12,15,6.0,0.0,1,1
416,13,11,6.0,0.0,1,2
417,13,12,6.0,0.0,1,1
418,11,14,6.0,0.0,1,2
419,8,8,6.0,0.0,2,3
420,8,16,6.0,0.0,1,3
421,13,16,6.0,0.0,2,2
422,12,10,6.0,0.0,1,1
423,3,9,6.0,0.0,2,1
424,4,5,6.0,0.0,2,2
425,8,12,6.0,0.0,2,3
426,12,10,6.0,0.0,1,3
427,5,16,6.0,0.0,2,2
428,2,11,6.0,0.0,1,2
429,6,10,6.0,0.0,1,2
430,9,16,6.0,0.0,2,2
431,5,12,6.0,0.0,1,1
432,9,17,6.0,0.0,1,1
433,10,16,6.0,0.0,2,3
434,14,16,6.0,0.0,2,1
435,1,6,6.0,0.0,2,1
436,10,15,6.0,0.0,2,3
437,4,7,6.0,0.0,1,2
438,14,11,6.0,0.0,2,1
439,4,12,6.0,0.0,1,2
440,3,10,6.0,0.0,2,1
441,1,17,6.0,0.0,2,2
442,2,8,6.0,0.0,2,2
443,8,15,6.0,0.0,2,1
444,13,12,6.0,0.0,1,3
445,10,9,6.0,0.0,2,3
446,5,4,5.0,0.0,2,1
447,1,12,5.0,0.0,1,1
448,3,7,5.0,0.0,2,2
449,14,11,5.0,0.0,2,2
450,4,10,5.0,0.0,1,1
451,7,4,5.0,0.0,2,3
452,2,10,5.0,0.0,1,3
453,12,15,5.0,0.0,1,2
454,8,15,5.0,0.0,2,3
455,11,18,5.0,0.0,2,2
456,7,6,5.0,0.0,1,2
457,2,2,5.0,0.0,2,1
458,1,11,5.0,0.0,2,1
459,1,4,5.0,0.0,2,1
460,10,17,5.0,0.0,2,2
461,13,13,5.0,0.0,1,1
462,8,5,5.0,0.0,1,2
463,2,4,5.0,0.0,2,1
464,12,12,5.0,0.0,1,3
465,8,5,5.0,0.0,1,1
466,5,6,5.0,0.0,1,2
467,13,10,5.0,0.0,2,2
468,3,6,5.0,0.0,2,1
469,10,16,5.0,0.0,1,2
470,5,11,5.0,0.0,1,2
471,3,8,4.0,0.0,2,3
472,11,17,4.0,0.0,1,2
473,11,9,4.0,0.0,1,1
474,6,3,4.0,0.0,1,1
475,3,13,4.0,0.0,2,3
476,3,12,4.0,0.0,2,3
477,10,17,4.0,0.0,1,1
478,10,17,4.0,0.0,1,2
479,1,6,4.0,0.0,2,2
