Long,Lat,N. of parkings,Day of the month,Day of the week,Hour
7.641500000000001,45.088499999999996,10,2,4,0
7.727,45.0255,3,2,4,0
7.727,45.088499999999996,13,2,4,0
7.641500000000001,45.0255,12,2,4,1
7.641500000000001,45.088499999999996,6,2,4,1
7.727,45.088499999999996,9,2,4,1
7.641500000000001,45.0255,4,2,4,2
7.641500000000001,45.088499999999996,4,2,4,2
7.727,45.0255,1,2,4,2
7.727,45.088499999999996,6,2,4,2
7.641500000000001,45.0255,4,2,4,3
7.641500000000001,45.088499999999996,6,2,4,3
7.727,45.0255,1,2,4,3
7.727,45.088499999999996,5,2,4,3
7.641500000000001,45.0255,5,2,4,4
7.641500000000001,45.088499999999996,7,2,4,4
7.727,45.0255,1,2,4,4
7.727,45.088499999999996,7,2,4,4
7.641500000000001,45.0255,13,2,4,5
7.641500000000001,45.088499999999996,22,2,4,5
7.727,45.0255,1,2,4,5
7.727,45.088499999999996,9,2,4,5
7.641500000000001,45.0255,23,2,4,6
7.641500000000001,45.088499999999996,29,2,4,6
7.727,45.0255,6,2,4,6
7.727,45.088499999999996,13,2,4,6
7.641500000000001,45.0255,46,2,4,7
7.641500000000001,45.088499999999996,62,2,4,7
7.727,45.0255,7,2,4,7
7.727,45.088499999999996,37,2,4,7
7.641500000000001,45.0255,55,2,4,8
7.641500000000001,45.088499999999996,72,2,4,8
7.727,45.0255,5,2,4,8
7.727,45.088499999999996,43,2,4,8
7.641500000000001,45.0255,49,2,4,9
7.641500000000001,45.088499999999996,90,2,4,9
7.727,45.0255,10,2,4,9
7.727,45.088499999999996,48,2,4,9
7.641500000000001,45.0255,36,2,4,10
7.641500000000001,45.088499999999996,69,2,4,10
7.727,45.0255,4,2,4,10
7.727,45.088499999999996,34,2,4,10
7.641500000000001,45.0255,30,2,4,11
7.641500000000001,45.088499999999996,51,2,4,11
7.727,45.0255,6,2,4,11
7.727,45.088499999999996,19,2,4,11
7.641500000000001,45.0255,25,2,4,12
