lng,lat,pippo
7.63702,45.080624,1523
7.638445,45.080154,7190
7.639747,45.080364,1599
7.638416,45.081532,892
7.637943,45.080643,2380
7.64236,45.024235,203
7.64246,45.02422,3729
7.642432,45.02248,398
7.643158,45.022675,1369
7.642014,45.02422,17200
7.640547,45.024311,989
7.640575,45.024303,7129
7.643115,45.023239,5278
7.6425,45.023632,4525
7.641788,45.022678,3628
7.642076,45.024231,3747
7.640722,45.022274,793
7.642057,45.023109,557
7.643366,45.024155,599
7.641922,45.023968,37
7.642187,45.023796,3657
7.641754,45.02272,6769
7.640736,45.034546,853
7.640382,45.035469,978
7.640348,45.03537,2741
7.642332,45.035812,4753
7.642482,45.036758,2381
7.640065,45.036133,8905
7.640345,45.035278,55
7.64151,45.035484,1350
7.640984,45.036312,4200
7.641617,45.035454,206
7.641678,45.034752,9684
7.6415,45.035492,5022
7.64151,45.036816,3864
7.642654,45.036293,3047
7.642963,45.035843,2736
7.641187,45.046547,714
7.643205,45.046967,917
7.642647,45.045589,5471
7.642942,45.046116,34
7.640733,45.046478,1273
7.642708,45.04673,796
7.640322,45.047039,99
7.641879,45.045506,408
7.643236,45.045013,4207
7.642277,45.045357,5254
7.643128,45.046318,8414
7.642725,45.04467,4055
7.640306,45.074451,430
7.641627,45.074257,52
7.64251,45.074718,2167
7.642273,45.072487,1690
7.642897,45.072762,4732
7.640341,45.073738,2587
7.642207,45.074394,266
7.640751,45.074314,4018
7.640108,45.074154,394
7.640166,45.074566,1587
7.640243,45.074543,335
7.642864,45.074768,9980
7.64464,45.040405,2336
7.644318,45.040249,3752
7.643885,45.040314,2250
7.646106,45.041328,5107
7.646474,45.040993,6850
7.644415,45.040939,1267
7.646564,45.041546,253
7.643641,45.042068,597
7.645589,45.04007,2212
7.645647,45.041679,61
7.644555,45.040596,1693
7.646868,45.039604,203
7.645858,45.040276,3920
7.644677,45.0667,657
7.64558,45.066826,5630
7.644055,45.06702,2315
7.645353,45.067326,4404
7.644914,45.066799,1186
7.643735,45.065849,1549
7.645314,45.067284,270
7.644941,45.065731,4152
7.646343,45.067089,931
7.645566,45.066872,2277
7.644176,45.066364,475
7.645144,45.066071,3694
7.643769,45.065247,182
7.644853,45.072693,3747
7.646137,45.072735,3700
7.646444,45.073929,1433
7.644946,45.072456,1352
7.643696,45.073215,2329
7.644855,45.074028,21046
7.64554,45.074661,2259
7.643724,45.073853,6890
7.645716,45.074745,2792
7.644381,45.074142,1152
7.645197,45.074833,889
7.644795,45.07832,179
7.645496,45.077869,4623
7.645154,45.077984,1459
7.644233,45.078644,3308
7.644742,45.079361,2334
7.643549,45.07756,3087
7.645082,45.078167,3670
7.644621,45.078369,977
7.64376,45.078331,16581
7.645871,45.079521,1232
7.643966,45.0783,1589
7.645543,45.077808,874
7.649181,45.022243,5232
7.647855,45.023563,17632
7.647233,45.02248,3850
7.649702,45.022469,2785
7.646898,45.023636,3987
7.646975,45.023663,2057
7.650275,45.02216,6706
7.648833,45.022984,2283
7.647713,45.022373,6360
7.647749,45.022369,3124
7.647429,45.022572,1073
7.648427,45.033817,26
7.648434,45.034031,1167
7.647278,45.033333,3838
7.649529,45.032715,51
7.647627,45.032948,2419
7.648258,45.034069,3175
7.647072,45.033104,368
7.649387,45.033619,2701
7.648792,45.033939,950
7.646991,45.032845,619
7.647576,45.032673,412
7.648448,45.033024,1260
7.647409,45.072861,1230
7.648006,45.074074,1825
7.647559,45.074146,3097
7.648571,45.072746,2836
7.649833,45.07325,39401
7.648536,45.073608,1833
7.648612,45.072395,1314
7.648745,45.074207,8046
7.64895,45.073505,17013
7.648595,45.072487,4076
7.647992,45.074158,3511
7.651715,45.023964,1862
7.651196,45.023701,1357
7.650358,45.022869,3025
7.653537,45.023525,7403
7.651655,45.023342,438
7.65066,45.022411,4043
7.652699,45.023987,2892
7.652267,45.022308,954
7.651919,45.022606,21801
7.652065,45.022877,5939
7.651571,45.024399,1277
7.651636,45.023396,437
7.653583,45.053139,1966
7.652592,45.054039,19498
7.653128,45.053741,8612
7.653415,45.052437,2541
7.651263,45.053741,6176
7.652001,45.054085,11473
7.652723,45.052696,4177
7.651507,45.053181,37
7.65056,45.053158,3912
7.652668,45.053276,2642
7.650592,45.05402,9414
7.652673,45.053799,2321
7.651103,45.054337,11423
7.65088,45.053528,2182
7.652308,45.068871,2657
7.651179,45.067848,884
7.653489,45.067726,1231
7.65188,45.067764,33
7.652375,45.069809,6836
7.653358,45.068855,815
7.65336,45.067921,12416
7.65042,45.069572,196
7.652273,45.068562,2290
7.651369,45.069572,1945
7.652379,45.068085,824
7.650388,45.069401,27163
7.651924,45.077606,4200
7.652558,45.078159,209
7.651575,45.078259,56
7.650648,45.07785,5396
7.651644,45.079304,254
7.651575,45.07803,2174
7.652232,45.078484,4425
7.650748,45.078819,3907
7.653197,45.07793,2734
7.652433,45.077774,11495
7.653074,45.077591,743
7.650519,45.078835,3955
7.653502,45.079067,8993
7.653225,45.079704,3708
7.653483,45.07859,8033
7.651625,45.078178,805
7.656772,45.02005,171
7.656645,45.021042,24168
7.655872,45.021919,4254
7.655883,45.020046,32725
7.655324,45.020252,58
7.654091,45.019417,960
7.655179,45.020077,2040
7.65437,45.020432,34698
7.653877,45.021336,13058
7.655758,45.020573,2330
7.654595,45.021088,25920
7.654784,45.081879,9358
7.657086,45.081364,1093
7.654807,45.081902,245
7.655657,45.080059,725
7.655845,45.081242,191
7.655939,45.08218,31
7.65658,45.081158,31
7.655804,45.080883,2489
7.655752,45.080841,4372
7.65617,45.081066,1553
7.655295,45.082443,1370
7.65395,45.080936,7088
7.654988,45.080482,6631
7.654593,45.082005,2539
7.655756,45.08556,6563
7.655095,45.086735,856
7.654004,45.087288,1412
7.656187,45.085899,179
7.655502,45.085976,5103
7.655101,45.085255,3476
7.653775,45.085522,1198
7.656851,45.08617,53
7.654922,45.085896,972
7.654391,45.086487,3135
7.653968,45.085171,4047
7.659629,45.039978,1741
7.657772,45.040318,1315
7.659337,45.04129,4536
7.65877,45.040653,5176
7.659104,45.040234,3723
7.660412,45.040249,1065
7.658372,45.040424,150
7.658912,45.042068,1279
7.658872,45.040016,1510
7.658911,45.039967,3648
7.660055,45.040264,2441
7.659503,45.054695,9560
7.659875,45.054165,4101
7.659875,45.054096,8526
7.658128,45.054138,3734
7.659866,45.053432,2551
7.660365,45.05286,3948
7.659263,45.053364,8404
7.660172,45.052681,29
7.659393,45.052303,3643
7.66035,45.05423,60
7.658638,45.054016,1295
7.659432,45.053993,2053
7.659076,45.052376,2295
7.66002,45.052299,4866
7.659237,45.056065,1423
7.65819,45.056019,4350
7.659329,45.057175,3198
7.659928,45.056877,2402
7.657807,45.055035,13153
7.658999,45.056278,3394
7.657325,45.056908,378
7.659288,45.05479,26963
7.65884,45.056831,3537
7.658775,45.055607,1403
7.659974,45.055485,12924
7.659797,45.055416,4235
7.660391,45.056168,192
7.659602,45.07399,4237
7.65984,45.072632,5552
7.659593,45.073868,1276
7.659707,45.073807,3038
7.658745,45.073654,37
7.660327,45.074192,10723
7.657177,45.073284,1500
7.660308,45.073906,7540
7.659007,45.073124,534
7.658407,45.074375,983
7.658155,45.074329,8371
7.659433,45.074539,4332
7.659222,45.078274,190
7.658481,45.077751,297
7.660402,45.078381,2819
7.66009,45.079533,4102
7.658045,45.077824,4244
7.658602,45.0798,1346
7.659158,45.078247,6030
7.659778,45.078495,8435
7.660306,45.078083,26988
7.657481,45.077789,3203
7.659048,45.077618,55
7.657369,45.079639,341
7.659715,45.081085,1202
7.658013,45.080677,6340
7.658763,45.081337,95
7.65869,45.081337,3843
7.658373,45.081829,2818
7.658892,45.081512,71
7.658378,45.080692,11010
7.657442,45.080132,2707
7.658712,45.079945,3793
7.659697,45.080276,1269
7.659638,45.081234,3740
7.657808,45.080166,941
7.657828,45.080124,153
7.659317,45.08007,5508
7.658048,45.094116,3790
7.659852,45.093456,355
7.660385,45.093269,2600
7.657792,45.094528,1494
7.65918,45.092842,2732
7.660106,45.094414,2598
7.658823,45.094517,1724
7.659655,45.093578,135
7.659137,45.094299,3822
7.659534,45.093544,543
7.659419,45.09351,22916
7.659172,45.104549,2363
7.659541,45.104866,3509
7.660337,45.10413,2923
7.658516,45.104965,1077
7.65768,45.103378,12794
7.658753,45.104328,3159
7.659457,45.102837,3749
7.659764,45.105022,2473
7.657705,45.103638,5325
7.660178,45.10471,2555
7.659365,45.10397,4043
7.658838,45.103214,544
7.66372,45.053978,156
7.663672,45.05373,1093
7.661731,45.053493,16657
7.662287,45.052601,1304
7.66163,45.054626,4034
7.662565,45.053406,445
7.662812,45.05228,27
7.661863,45.052486,580
7.662011,45.052898,2285
7.663852,45.053009,11590
7.663253,45.052303,783
7.663589,45.052505,110
7.661019,45.054115,2477
7.661712,45.053528,2075
7.661265,45.057102,99
7.660688,45.05687,26
7.663712,45.055347,241
7.662132,45.054829,35460
7.661554,45.05619,3945
7.663584,45.055248,5833
7.661564,45.05574,827
7.663621,45.055271,678
7.662884,45.055031,7883
7.662496,45.056156,3961
7.661541,45.056408,2543
7.663184,45.055065,3682
7.663504,45.054932,935
7.661926,45.05505,383
7.66317,45.056416,262
7.66132,45.074673,1761
7.661005,45.072914,4490
7.661151,45.073513,70
7.66106,45.07272,1249
7.661797,45.073082,340
7.661694,45.073349,367
7.663668,45.073467,1054
7.662591,45.072948,5759
7.6608,45.072708,5247
7.663877,45.074444,892
7.662182,45.074352,1165
7.662762,45.072701,1170
7.663042,45.078293,5451
7.661495,45.078434,7370
7.662922,45.078228,5529
7.661271,45.078362,2239
7.661285,45.07745,4320
7.662521,45.078514,2524
7.663589,45.079639,3799
7.662889,45.079044,54
7.66277,45.079166,716
7.661483,45.07835,5364
7.660913,45.077652,2103
7.664252,45.055908,4145
7.666049,45.055859,3400
7.666241,45.055756,4054
7.665958,45.055683,3760
7.665988,45.055824,2280
7.666211,45.055042,7911
7.665484,45.055748,3650
7.664135,45.056561,273
7.665335,45.055698,2483
7.666028,45.055008,4530
7.663976,45.05653,2441
7.665957,45.054771,2807
7.666058,45.054813,4130
7.668463,45.06015,4715
7.667766,45.060516,276
7.669579,45.061932,6890
7.669667,45.061039,9529
7.669454,45.060253,6989
7.670611,45.059933,1898
7.668762,45.060692,4143
7.668829,45.060318,2298
7.670401,45.062252,2450
7.6707,45.062183,5086
7.66899,45.060638,8492
7.670623,45.062012,3084
7.669368,45.060307,66
7.66883,45.060673,14824
7.66924,45.062187,1366
7.668616,45.068073,1328
7.668977,45.067505,5451
7.668477,45.067513,88
7.668211,45.067448,22454
7.66867,45.068062,3000
7.670413,45.069771,1483
7.667943,45.069447,984
7.668382,45.069706,41
7.670257,45.06805,2663
7.669322,45.068649,417
7.669181,45.068569,1460
7.667496,45.06847,2461
7.672282,45.085022,2627
7.671538,45.086658,3977
7.672343,45.087318,5329
7.671303,45.086521,7098
7.672633,45.085033,3765
7.67122,45.085342,196
7.670982,45.086674,6558
7.672323,45.085007,1393
7.67262,45.087276,1087
7.671682,45.085278,315
7.6733,45.086418,2668
7.670978,45.085445,5038
7.673852,45.098747,1339
7.673247,45.09861,161
7.672146,45.09808,935
7.671786,45.09811,2954
7.674161,45.098507,5128
7.671923,45.099472,1503
7.673838,45.099415,5444
7.673089,45.098419,11497
7.673065,45.097618,3760
7.671517,45.099258,2787
7.673843,45.099468,174
7.673162,45.098808,2081
7.672642,45.098679,3192
7.672642,45.100075,3142
7.670799,45.100098,1200
7.67398,45.097973,4268
7.676222,45.053867,4221
7.674873,45.053028,311
7.675552,45.053318,33396
7.677529,45.053761,485
7.67529,45.053024,20646
7.675972,45.054462,173
7.676297,45.053131,10465
7.676729,45.053162,919
7.675745,45.054699,1973
7.675159,45.05262,2288
7.674261,45.052559,58
7.675782,45.053288,3636
7.677035,45.053009,110
7.674347,45.065033,648
7.67477,45.065647,466
7.676765,45.066517,3924
7.675616,45.066704,1130
7.676881,45.06665,5245
7.675848,45.0653,9640
7.676692,45.06506,2235
7.675202,45.066944,14187
7.676804,45.066971,165
7.674553,45.06699,1102
7.676379,45.065849,11595
7.677102,45.067059,36525
