lat,lng
45.001434,7.666854
45.001091,7.666297
45.000988,7.666361
45.003162,7.666608
45.003139,7.666687
45.00164,7.700681
45.001747,7.700825
45.000992,7.666249
45.124889,7.748814
45.124874,7.748771
45.07634,7.673107
45.095539,7.629179
45.11018,7.678469
45.068775,7.695232
45.09668,7.702728
45.017502,7.662156
44.999485,7.682599
45.016754,7.618706
45.016754,7.618756
45.020172,7.612316
45.064728,7.673279
45.06604,7.652552
45.066216,7.652595
45.078671,7.6883
45.091053,7.703124
44.998291,7.661642
45.078873,7.603738
45.07468,7.59968
45.021626,7.620564
45.02166,7.620532
45.097549,7.661379
45.10154,7.66769
45.101505,7.667754
45.071213,7.602367
45.071289,7.602459
45.098019,7.661661
45.041954,7.675284
45.08144,7.673743
45.081379,7.673719
45.082321,7.674994
45.082363,7.675069
45.034122,7.648139
45.051094,7.645531
45.059223,7.626193
45.042564,7.663872
45.0728,7.721149
45.091434,7.690723
45.103081,7.760656
45.1031,7.760684
45.051674,7.648645
45.035477,7.652387
45.1157,7.64174
45.050964,7.611275
45.121651,7.71058
45.124813,7.708968
45.124699,7.708992
45.124756,7.708953
45.124786,7.708925
45.121704,7.710835
45.121731,7.71083
45.124653,7.707598
45.124641,7.707571
45.063919,7.648732
45.064358,7.647975
45.064415,7.647892
45.064983,7.638341
45.065052,7.638225
45.097721,7.706972
45.002483,7.723128
45.098824,7.673924
45.084625,7.628583
45.068092,7.640951
45.06678,7.672794
45.066948,7.672791
45.114281,7.645521
45.065323,7.710986
45.058994,7.648762
45.08313,7.702328
45.083172,7.702345
45.077629,7.696105
45.078041,7.695974
45.104851,7.702455
45.105011,7.702529
45.041454,7.633132
45.035164,7.645289
45.046604,7.636291
45.046577,7.636332
45.035091,7.644763
45.021477,7.65024
45.018936,7.653356
45.018887,7.653324
45.046158,7.672639
45.046062,7.672689
45.022141,7.650442
45.02335,7.653649
44.997177,7.715237
45.014874,7.681737
45.014771,7.681722
45.075851,7.649845
45.059261,7.634755
45.050259,7.664472
45.050194,7.664406
45.091763,7.675168
45.099201,7.698117
45.10783,7.682914
45.107891,7.682931
45.09948,7.697762
45.09874,7.694378
45.103188,7.733727
45.103161,7.733732
45.098873,7.694128
45.001801,7.646998
45.057232,7.61127
45.074566,7.640254
45.094772,7.632174
45.057873,7.614146
45.048016,7.648747
44.995964,7.682866
45.101337,7.667554
45.097786,7.657819
45.116741,7.708042
45.116619,7.708082
45.116531,7.708407
45.096767,7.700518
45.096802,7.700379
45.116787,7.70823
45.117344,7.708205
45.101246,7.644512
45.064732,7.64175
45.064697,7.641634
45.047909,7.660221
45.047768,7.660257
45.039932,7.673083
44.999092,7.652013
44.999058,7.652008
45.071339,7.650292
45.05365,7.664039
45.053524,7.669569
45.053581,7.669764
45.053654,7.663716
45.080956,7.767654
45.069588,7.698955
45.069553,7.698947
45.058701,7.683826
45.12249,7.654391
45.079071,7.76674
45.079033,7.766719
45.017593,7.608521
45.017658,7.608741
45.071121,7.71291
45.071102,7.712863
45.05373,7.680709
45.067696,7.714296
45.067818,7.714332
45.063923,7.637972
45.064075,7.637815
45.043167,7.683658
45.043125,7.683725
45.017941,7.680306
45.017967,7.68021
45.013107,7.637519
45.062794,7.679592
45.062828,7.679589
45.056606,7.684669
45.004581,7.601965
45.006271,7.622362
45.007481,7.621687
45.004604,7.602016
45.004631,7.602
45.082054,7.626306
45.070526,7.615128
45.079803,7.683572
45.078262,7.642797
45.018139,7.60907
45.031456,7.66652
45.031464,7.666576
44.997189,7.69344
44.999832,7.670859
45.069141,7.603763
45.069542,7.603645
45.114548,7.647216
45.021191,7.663605
45.010906,7.656874
45.037125,7.681367
45.037109,7.6814
45.043438,7.685111
45.043453,7.685081
45.024345,7.655853
