lng,lat,pippo
7.614429,45.074684,763
7.613202,45.073162,2750
7.615265,45.073338,254
7.613962,45.074055,446
7.615009,45.074123,15800
7.61522,45.074635,8075
7.614796,45.074234,616
7.614581,45.073952,363
7.615308,45.074039,585
7.614464,45.073822,222
7.615614,45.074066,632
7.615159,45.072422,656
7.612942,45.074669,542
7.617675,45.070953,1065
7.618142,45.07222,95
7.619362,45.072357,73
7.617929,45.07003,1228
7.61783,45.070244,1101
7.619038,45.071911,236
7.619513,45.070557,282
7.618972,45.070271,144
7.618134,45.071991,574
7.616853,45.07143,131
7.616517,45.071705,149
7.61685,45.071724,11487
7.616837,45.071331,129
7.622734,45.074898,187
7.622328,45.075226,164
7.621052,45.076832,603
7.622634,45.075603,535
7.620509,45.075356,596
7.622454,45.075314,521
7.622552,45.077232,2894
7.622791,45.076626,6589
7.620722,45.075466,416
7.621223,45.076797,997
7.620268,45.075134,259
7.624496,45.075233,8106
7.624533,45.075951,55
7.625788,45.076408,3959
7.626113,45.07695,1240
7.62598,45.075832,1247
7.625694,45.076912,127
7.624137,45.076481,1064
7.623385,45.075623,165
7.62604,45.076283,17158
7.623015,45.076847,458
7.623127,45.077293,249
7.624352,45.076897,584
7.623444,45.075581,233
7.626692,45.076939,271
7.629249,45.07597,702
7.627619,45.07679,175
7.627415,45.076,3993
7.627172,45.076393,76
7.628073,45.074909,381
7.629089,45.075523,627
7.626914,45.076923,566
7.629489,45.076763,80
7.627851,45.075901,2846
7.626539,45.076618,4267
7.630859,45.065422,38
7.631199,45.06654,5458
7.63246,45.066353,2673
7.630969,45.065907,10025
7.630328,45.065128,312
7.631391,45.065689,194
7.630868,45.065643,138
7.632085,45.06657,8227
7.630945,45.065815,44
7.629843,45.066811,898
7.633166,45.066933,190
7.63111,45.06966,23780
7.630468,45.069294,838
7.632898,45.069454,1683
7.629873,45.067841,492
7.63255,45.068188,255
7.632782,45.068764,57
7.633112,45.069592,8471
7.632619,45.068886,239
7.63314,45.069031,94
7.632323,45.068245,4600
7.631354,45.068924,5641
7.632198,45.078609,153
7.630405,45.077602,37
7.630777,45.077621,250
7.631876,45.079308,426
7.631094,45.078133,1300
7.631979,45.077435,2880
7.631757,45.078247,833
7.633026,45.079369,177
7.630144,45.079094,9083
7.631432,45.079796,2061
7.63147,45.078026,16726
7.636035,45.067867,224
7.634591,45.069084,610
7.633952,45.069279,210
7.633801,45.068855,1788
7.634412,45.069168,48
7.63378,45.068218,9431
7.634617,45.069763,1171
7.633352,45.069317,5345
7.636347,45.069752,522
7.636542,45.068111,3901
7.635925,45.067413,60
7.635577,45.068409,69
7.635622,45.069778,384
7.633773,45.068996,21935
7.634696,45.069702,568
7.635269,45.068878,476
7.636479,45.068195,466
7.635012,45.067768,543
7.633651,45.070183,5203
7.633323,45.07201,3875
7.634922,45.072281,7095
7.634382,45.070206,237
7.635915,45.070457,4262
7.63589,45.072361,193
7.633494,45.070408,2157
7.635329,45.070423,2599
7.63393,45.071548,594
7.634718,45.072182,5522
7.634299,45.071835,9863
7.636434,45.076813,2774
7.634212,45.076363,4659
7.6351,45.075165,4081
7.635773,45.076046,108
7.635712,45.075569,9558
7.635502,45.076393,229
7.636349,45.076012,834
7.635233,45.074951,328
7.635036,45.076488,198
7.633383,45.076828,768
7.635716,45.076141,80
7.635033,45.117012,245
7.635304,45.116585,27390
7.635178,45.115265,546
7.635303,45.116497,39061
7.635469,45.11631,39061
7.635365,45.116596,39061
7.635024,45.116165,208
7.635001,45.117023,245
7.635611,45.115921,601
7.6351,45.115807,1408
7.635171,45.115841,2753
7.635023,45.117035,245
7.635332,45.115437,244
7.635105,45.117275,271
7.63531,45.116619,39061
7.635013,45.115829,283
7.634628,45.116932,391
7.635126,45.117054,571
7.63504,45.116989,246
7.636325,45.115566,575
7.63652,45.115574,562
7.635557,45.116772,225
7.635315,45.115425,245
7.634932,45.116924,246
7.635023,45.116833,379
7.634982,45.116749,567
7.635146,45.115284,627
7.635508,45.11591,302
7.635146,45.115284,293
7.635326,45.117142,485
7.635243,45.116535,43064
7.635384,45.11552,505
7.636569,45.116516,320
7.63529,45.115616,509
7.635394,45.115768,575
7.63653,45.115776,555
7.635013,45.115944,489
7.63552,45.116467,12742
7.635245,45.115337,220
7.635127,45.115837,1409
7.634955,45.116581,563
7.635263,45.116463,4425
7.635167,45.115852,28798
7.635162,45.11581,2754
7.634882,45.11618,2959
7.635512,45.116024,5293
7.635586,45.116207,18976
7.635242,45.116142,14479
7.635196,45.116085,14716
7.635088,45.11602,13196
7.635678,45.115711,21315
7.63537,45.116135,16787
7.635164,45.116196,12197
7.63523,45.116013,21717
7.635249,45.116119,17800
7.63529,45.116016,21887
7.635296,45.116116,16909
7.635369,45.11618,11997
7.634929,45.116955,245
7.635198,45.116798,288
7.635172,45.116703,270
7.635326,45.115337,206
7.635502,45.115887,301
7.635015,45.116947,245
7.635526,45.115776,313
7.635485,45.115704,254
7.635108,45.115471,583
7.635132,45.115421,291
7.635462,45.115665,310
7.635261,45.11549,503
7.636518,45.115574,561
7.635056,45.115517,507
7.635343,45.115276,264
7.635768,45.115509,563
7.635364,45.116543,20900
7.635062,45.115765,554
7.635061,45.115597,169
7.63528,45.115627,12967
7.636434,45.115318,215
7.635277,45.115864,257
7.635162,45.115982,2754
7.635215,45.115837,2754
