lng,lat,pippo
7.63515,45.077656,3748
7.636312,45.079052,4309
7.633962,45.081921,835
7.633606,45.080875,12996
7.634475,45.082245,600
7.635048,45.081173,4050
7.63333,45.08057,867
7.634834,45.082058,726
7.633263,45.081783,1118
7.634073,45.080753,11360
7.636239,45.081142,1142
7.634051,45.080067,131
7.634373,45.081055,3613
7.633749,45.081818,781
7.635304,45.116585,27390
7.635303,45.116497,39061
7.635469,45.11631,39061
7.635365,45.116596,39061
7.6351,45.115807,1408
7.635171,45.115841,2753
7.635064,45.115387,1758
7.63531,45.116619,39061
7.635243,45.116535,43064
7.635346,45.115635,351
7.636174,45.115467,374
7.63552,45.116467,12742
7.635962,45.115654,1054
7.635127,45.115837,1409
7.635263,45.116463,4425
7.635167,45.115852,28798
7.635162,45.11581,2754
7.634882,45.11618,2959
7.635512,45.116024,5293
7.635586,45.116207,18976
7.635242,45.116142,14479
7.635196,45.116085,14716
7.635088,45.11602,13196
7.635678,45.115711,21315
7.63537,45.116135,16787
7.635164,45.116196,12197
7.63523,45.116013,21717
7.635249,45.116119,17800
7.63529,45.116016,21887
7.635296,45.116116,16909
7.635369,45.11618,11997
7.635178,45.115482,1758
7.635364,45.116543,20900
7.63528,45.115627,12967
7.635162,45.115982,2754
7.635215,45.115837,2754
7.639134,45.036552,775
7.639351,45.035667,737
7.639333,45.034794,1207
7.6399,45.034874,322
7.639633,45.035282,1111
7.638207,45.036438,321
7.639325,45.034912,773
7.63741,45.034893,8405
7.639915,45.036385,1179
7.638392,45.036278,284
7.639563,45.036289,1070
7.637484,45.035244,891
7.638939,45.035957,806
7.637738,45.035362,816
7.638834,45.039288,947
7.637794,45.03783,254
7.637666,45.038624,1308
7.638018,45.038342,866
7.637164,45.038551,677
7.639248,45.037773,4732
7.639786,45.038414,613
7.639046,45.038918,11752
7.63687,45.037804,3061
7.639846,45.037876,833
7.6368,45.038376,146
7.639469,45.038868,176
7.638787,45.042095,751
7.637953,45.041885,379
7.637661,45.039963,783
7.639988,45.041817,922
7.637315,45.039875,2334
7.637483,45.039875,915
7.639922,45.041557,790
7.638643,45.041977,5408
7.638675,45.041409,865
7.63832,45.041332,250
7.638474,45.040764,6077
7.637655,45.040295,762
7.639294,45.041615,2952
7.637434,45.040447,4027
7.637346,45.041767,6235
7.637771,45.04142,10123
7.639975,45.046181,847
7.638913,45.044632,698
7.637217,45.047024,1167
7.638795,45.046341,9536
7.637187,45.04467,2782
7.639699,45.045326,1571
7.639943,45.046173,1474
7.639246,45.045673,737
7.636767,45.04501,169
7.636817,45.044888,260
7.639792,45.045719,3699
7.63863,45.04694,919
7.637957,45.059944,830
7.636955,45.06144,1397
7.638115,45.0602,1009
7.639922,45.05999,753
7.639705,45.06007,631
7.637828,45.062019,722
7.637981,45.059898,8520
7.639077,45.061649,8742
7.638228,45.059948,8387
7.639037,45.060093,873
7.639969,45.06089,919
7.639403,45.065769,809
7.637372,45.066135,776
7.637908,45.06522,4431
7.638405,45.06633,5048
7.638852,45.066673,721
7.639256,45.066055,802
7.639249,45.065193,5329
7.639881,45.066299,579
7.637897,45.065006,834
7.637927,45.065529,4004
7.638129,45.06554,978
7.636868,45.064907,13519
7.638852,45.06646,615
7.638951,45.066494,604
7.638126,45.066368,843
7.636684,45.065197,639
7.639327,45.066128,263
7.63728,45.069485,902
7.6367,45.068859,1974
7.636682,45.068562,2147
7.637365,45.069252,185
7.638311,45.068844,781
7.637523,45.068531,676
7.637269,45.068604,4067
7.639531,45.067986,2728
7.638078,45.068504,443
7.637261,45.068703,687
7.63798,45.068939,662
7.638741,45.068703,6090
7.637714,45.068218,2748
7.637346,45.069485,881
7.639165,45.072178,828
7.63887,45.07132,942
7.638505,45.071712,725
7.636778,45.071632,867
7.636665,45.071827,1017
7.639239,45.071651,20150
7.636711,45.072189,1112
7.636681,45.071278,6968
7.639318,45.071743,737
7.638306,45.071819,829
7.637132,45.070217,4377
7.638118,45.070084,1073
7.639289,45.070271,712
7.638751,45.070774,750
7.639082,45.074638,20033
7.637892,45.072842,1428
7.63804,45.07299,149
7.636904,45.073322,845
7.63765,45.073498,4374
7.638714,45.073139,1001
7.639159,45.074619,2555
7.640005,45.074066,1039
7.636949,45.073868,1462
7.64004,45.074776,691
7.637039,45.073383,14955
7.636761,45.073097,706
7.637272,45.072727,760
7.63904,45.072861,2419
7.637063,45.07386,803
7.637049,45.075325,79
7.637057,45.074909,861
7.639113,45.075516,175
7.638008,45.075413,427
7.639999,45.075478,833
7.639941,45.07497,950
7.639365,45.075027,26151
7.636666,45.075935,3079
7.639787,45.076668,761
7.639881,45.077244,193
7.638152,45.075478,355
7.639742,45.076447,159
7.637252,45.076984,904
7.639375,45.081699,199
7.63885,45.081093,2569
7.640017,45.082336,736
7.636768,45.080658,3785
7.638445,45.080154,7190
7.63861,45.081997,158
7.639578,45.080494,908
7.63772,45.081017,709
7.637879,45.080345,800
7.637268,45.081104,4258
7.637321,45.08112,212
7.640074,45.022842,924
7.642395,45.023552,819
7.642478,45.024261,874
7.64242,45.022179,887
7.642014,45.02422,17200
7.642935,45.022327,194
7.640575,45.024303,7129
7.64289,45.023876,822
7.641896,45.023895,501
7.642411,45.023464,834
7.641922,45.024338,850
7.641092,45.022419,4073
7.640391,45.024181,19665
7.640534,45.024406,704
7.642141,45.023491,799
7.642689,45.022179,765
7.642112,45.023823,2584
7.642303,45.024029,759
7.642483,45.024109,1149
7.641754,45.02272,6769
7.640443,45.024387,694
7.640777,45.024731,4088
7.641723,45.026413,2624
7.643194,45.026131,831
7.640827,45.024624,3887
7.640988,45.0247,626
7.643438,45.026524,7922
7.643045,45.025806,7096
7.640437,45.026093,2066
7.64122,45.025658,1413
7.642005,45.024883,292
7.640656,45.025429,779
7.640663,45.024784,804
7.642532,45.032646,848
7.642775,45.03397,665
7.641753,45.034138,778
7.643211,45.032047,456
7.641755,45.034019,13835
7.641837,45.032589,282
7.643386,45.032494,749
7.641464,45.03429,308
7.640762,45.034317,1513
7.641811,45.032578,254
7.640873,45.032333,217
7.641757,45.034515,796
7.640169,45.038242,12499
7.6425,45.038738,878
7.640219,45.038116,897
7.640271,45.038666,4985
7.642773,45.037868,1063
7.642502,45.037647,837
7.642166,45.039154,8332
7.643115,45.037395,7827
7.642085,45.03743,29
7.643086,45.03957,276
7.641521,45.03867,930
7.642738,45.038853,815
7.641539,45.037319,712
7.642388,45.038429,4216
7.640972,45.037441,1144
7.642505,45.037346,876
7.642631,45.038761,6844
7.642623,45.038197,7641
7.640228,45.037399,1113
7.642992,45.04668,266
7.641346,45.046673,171
7.641885,45.046944,343
7.641685,45.047012,292
7.6424,45.046055,1259
7.642216,45.046871,872
7.641398,45.045101,309
7.643044,45.046631,341
7.640604,45.045708,317
7.642669,45.046913,4305
7.641745,45.046349,2897
7.643237,45.044865,986
7.643128,45.046318,8414
7.642071,45.046177,519
7.643148,45.047905,806
7.64213,45.04776,2295
7.641861,45.047718,3517
7.641869,45.048893,770
7.640817,45.049126,861
7.642475,45.049217,6424
7.641011,45.048809,794
7.641892,45.048931,726
7.642303,45.048309,43
7.642007,45.048096,682
7.640394,45.047947,625
7.641628,45.050426,5672
7.640855,45.052166,165
7.642288,45.052032,274
7.641757,45.05032,1523
7.642192,45.050488,618
7.641999,45.049854,1738
7.641911,45.052135,732
7.642415,45.05201,239
7.641183,45.049877,242
7.6434,45.05143,785
7.642343,45.051697,277
7.641942,45.065083,755
7.64213,45.065792,7197
7.643118,45.066998,11475
7.641195,45.066948,6042
7.641358,45.066124,2530
7.642184,45.06646,920
7.643064,45.067043,649
7.640128,45.065594,100
7.641006,45.065353,480
