lng,lat,pippo
7.60914,45.074547,500
7.608117,45.072449,625
7.606642,45.073742,1007
7.606815,45.073723,266
7.609332,45.07333,2257
7.607703,45.073616,5287
7.60923,45.07304,139
7.608566,45.07312,847
7.607419,45.074234,662
7.608617,45.074772,1327
7.608078,45.074715,1074
7.611434,45.065979,198
7.61018,45.065063,625
7.611383,45.067284,802
7.610772,45.065842,8553
7.609892,45.066498,947
7.611416,45.065887,618
7.611278,45.066223,933
7.609453,45.065804,1160
7.609384,45.06551,1320
7.611161,45.06599,771
7.611346,45.065483,940
7.625555,45.037457,1010
7.623643,45.038139,982
7.625128,45.037823,14305
7.625031,45.038452,13729
7.624636,45.037197,1068
7.625993,45.038746,1766
7.624449,45.038044,2625
7.624234,45.038422,792
7.623468,45.037457,841
7.624414,45.038563,2164
7.624724,45.038246,799
7.625075,45.081421,2893
7.624547,45.08075,961
7.626002,45.079998,3012
7.62563,45.081001,3922
7.625144,45.082062,908
7.624649,45.081203,5921
7.625717,45.081963,2516
7.626304,45.080647,694
7.626183,45.081547,1608
7.625999,45.080185,1756
7.626118,45.081654,723
7.624331,45.080479,807
7.62498,45.08017,15795
7.625312,45.080395,2513
7.629338,45.063961,2394
7.628891,45.063335,800
7.629298,45.064251,870
7.629098,45.063564,3338
7.6277,45.064388,854
7.628719,45.063854,752
7.628776,45.063011,858
7.626583,45.06382,2594
7.62816,45.064594,1217
7.628554,45.064671,745
7.627776,45.063145,8725
7.628984,45.07563,857
7.627415,45.076,3993
7.628652,45.077133,10430
7.628923,45.075027,2329
7.629529,45.07663,82
7.627369,45.076817,991
7.627665,45.07518,173
7.629519,45.075588,106
7.627715,45.07494,790
7.628961,45.07682,823
7.628636,45.077297,2279
7.626539,45.076618,4267
7.632565,45.050262,761
7.632354,45.050751,5590
7.631664,45.050846,1148
7.632623,45.050198,867
7.630207,45.050449,20362
7.632391,45.051323,662
7.631768,45.050797,826
7.630665,45.050163,1174
7.630554,45.050407,727
7.630258,45.050404,942
7.632357,45.050613,1050
7.630765,45.050125,716
7.631199,45.06654,5458
7.63178,45.06562,2460
7.630912,45.065819,4387
7.630347,45.065346,448
7.631688,45.066105,179
7.630375,45.06488,689
7.633213,45.066895,120
7.631135,45.066151,71
7.632085,45.06657,8227
7.631899,45.066845,6057
7.631289,45.06723,836
7.632681,45.065044,3715
7.631307,45.065384,65
7.631536,45.065685,1614
7.63111,45.06966,23780
7.630307,45.068443,665
7.631885,45.067429,860
7.633112,45.069592,8471
7.630464,45.067776,850
7.63163,45.069714,781
7.633023,45.06974,1147
7.6318,45.068367,6060
